drugName	condition	review	rating	date	usefulCount
Abacavir	HIV Infection	Sorry to say this drug Abacavir definitely had a very bad unpleasant stressful adverse  effect felt in my heart, it was beating harder and surrounding heart area felt a bit off.  After continuing a few doses of Abacavir over a few days I could no longer tolerate or cope with the continuing higher persistent distress of my heart noticeably beating harder around the clock and happily quit taking Abacavir with noticeably rapid overall relief and improvement of no longer noticing any further adverse distressful symptoms with and around my heart.  I definitely feel Abacavir is a very potential danger to the heart!!!!	1	March 21, 2019	2
Abacavir Oral Solution	HIV Infection	Sorry to say this drug Abacavir definitely had a very bad unpleasant stressful adverse  effect felt in my heart, it was beating harder and surrounding heart area felt a bit off.  After continuing a few doses of Abacavir over a few days I could no longer tolerate or cope with the continuing higher persistent distress of my heart noticeably beating harder around the clock and happily quit taking Abacavir with noticeably rapid overall relief and improvement of no longer noticing any further adverse distressful symptoms with and around my heart.  I definitely feel Abacavir is a very potential danger to the heart!!!!	1	March 21, 2019	2
Abacavir Sulfate Tablets	HIV Infection	Sorry to say this drug Abacavir definitely had a very bad unpleasant stressful adverse  effect felt in my heart, it was beating harder and surrounding heart area felt a bit off.  After continuing a few doses of Abacavir over a few days I could no longer tolerate or cope with the continuing higher persistent distress of my heart noticeably beating harder around the clock and happily quit taking Abacavir with noticeably rapid overall relief and improvement of no longer noticing any further adverse distressful symptoms with and around my heart.  I definitely feel Abacavir is a very potential danger to the heart!!!!	1	March 21, 2019	2
Abacavir and Lamivudine Tablets	HIV Infection	taking this combo for 2 months now together with rezolsta (darunavir/cobicistat) feeling nausea dizzy have severe rash (not sure from meds tho) and gained weight. All these HIV meds have terrible side effects but seem to keep you alive.	7	September 1, 2019	2
Abacavir and Lamivudine Tablets	Epzicom (abacavir / lamivudine) for HIV Infection	My wife and I have B\been on  Epzicom since 2000 along with viramune, it   works , no side effects, we take the generic.  I don't understand why Drs keep prescribing expensive new stuff , when old stuff works fine.	10	August 10, 2019	3
Abacavir and lamivudine	HIV Infection	taking this combo for 2 months now together with rezolsta (darunavir/cobicistat) feeling nausea dizzy have severe rash (not sure from meds tho) and gained weight. All these HIV meds have terrible side effects but seem to keep you alive.	7	September 1, 2019	2
Abacavir and lamivudine	Epzicom (abacavir / lamivudine) for HIV Infection	My wife and I have B\been on  Epzicom since 2000 along with viramune, it   works , no side effects, we take the generic.  I don't understand why Drs keep prescribing expensive new stuff , when old stuff works fine.	10	August 10, 2019	3
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I have been HIV positive since 1999. I am 45 years old now. I have been on many regimens over the years. 2015 I switched to Triumeq. 6 years maintaining undetectable virus. Cd4 counts been between 600 and 900.  Joint pain, dizzy spells, high blood pressure, high triglycerides, anxiety, shoulder achyness, recently. Not sure if its because of medicine or bad eating and lack of exercise.	8	April 22, 2021	0
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Been positive 34 years, doing fine but decided to change to tthe 1 pill a day instead of 5. This drug may work for some but NOT FOR ME !  have issues with depression and anxiety  and were amplified 100x on this drug. Blood pressure went sky high, headaches, swollen eyes, couldn't eat or sleep. Couldn't function. Went back to original meds, Kaletra and Truvada. Feeling better. They can keep their 1 pill a day!!	1	April 5, 2021	1
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I took Triumeq for about a year and I didn't have any side effects for the first six months.  I started getting dizzy spells, felt super emotional for no reason, very sore around my eyes constantly which felt like I had been punched, and the worst was extreme fatigue no matter how long I slept.  I switched to Odefsey and feel much better but I gained a little weight and my hair is thinning and breaking now.	7	February 8, 2021	0
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Switched to Triumeq in 2015 after being on Atripla for many years and undetectable. Facial wasting appeared recently.	8	November 8, 2020	2
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Great pills! Im useing Tmq from 2017. My CD4 is 1200 and viral load is 0. In the beginning it was 100 000, and after 1 month it was 0. My CD4 was 200 and after 1 year of usein Tmq it was completely recovered, 1200, and it is like that for last 2 years. I have very dry skin and sometime sleeping problems.	10	February 29, 2020	12
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	Been on Triumeq for a week now and I'm not 100% happy. My last meds stopped working even though I had 100% adherence. Since taking Triumeq I've not slept properly (taking me ages to fall asleep and then waking during the night and taking a long time to go back to sleep) and I'm someone who normally sleeps like a kitten. The other thing I've noticed is really itchy skin: face, neck, torso, legs....no rash, just constant itchy feeling. I've had a couple of dizzy spells one of which made me panic and my heart rate went up to 134 (I was just washing the dishes!). I'll stick with them as one week is too short a time to decide if I can live with the side effects or if they are just temporary. I'll post again in a few weeks.	5	November 19, 2019	12
Abacavir, dolutegravir, and lamivudine	Triumeq (abacavir / dolutegravir / lamivudine)	I started this medication with a VL of 16000 and CD4 451. It didn't cause me any side effects (so far), and after two months I reached undetectable and a CD4 of 668.	10	August 21, 2019	5
