WARNING:urllib3.connectionpool:Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15bc809e10>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/4b62555d2a3c88f75e509288fc7b27b7/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15bc377410>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/4b62555d2a3c88f75e509288fc7b27b7/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f15bc3778d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/4b62555d2a3c88f75e509288fc7b27b7/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7faea7a992d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/0622f55324911a284cb1d2cfb120ad02/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7faea7bc6a90>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/0622f55324911a284cb1d2cfb120ad02/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7faea7605050>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/0622f55324911a284cb1d2cfb120ad02/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffcb5559bd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/bc6a3ddb6a34f5a06efa1d39e5e29cb9/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffcb5559110>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/bc6a3ddb6a34f5a06efa1d39e5e29cb9/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ffcb5559ad0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/bc6a3ddb6a34f5a06efa1d39e5e29cb9/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f379355a290>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/157f85af124139f98051be28b154b36b/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f379355a910>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/157f85af124139f98051be28b154b36b/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f379355ae90>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/157f85af124139f98051be28b154b36b/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f379355a950>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/157f85af124139f98051be28b154b36b/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f37930c65d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/157f85af124139f98051be28b154b36b/element
WARNING:urllib3.connectionpool:Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f379355abd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/157f85af124139f98051be28b154b36b/element
